"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/07/2016","Tal Bagels","TAL BAGELS","24.87","debit","Restaurants","Sapphire","",""
"8/07/2016","Pier A","PIER A","47.50","debit","Alcohol & Bars","Sapphire","",""
"8/07/2016","Amazon","Amazon.com","27.21","debit","Shopping","Quicksilver","",""
"8/05/2016","Repaying For First","Repaying for first two weeks of work at Nav labs","1759.00","credit","Income","Venmo","",""
"8/05/2016","Nyc Taxi","NYC-TAXI WOODSIDE NY","16.30","debit","Rental Car & Taxi","8572","",""
"8/05/2016","Friedmans","FRIEDMANS","23.74","debit","Restaurants","Sapphire","",""
"8/05/2016","Hill Country Ny","SQ *HILL COUNTRY NY LLC","32.00","debit","Restaurants","Sapphire","",""
"8/05/2016","Hecksher Ballfields","HECKSHER BALLFIELD CAF","44.02","debit","Restaurants","Sapphire","",""
"8/04/2016","City Vineyard Beer","City vineyard - 1 beer","9.50","credit","Income","Venmo","",""
"8/04/2016","City Vineyard For","City vineyard for you and Cara minus first round of beers for bday","45.00","credit","Income","Venmo","",""
"8/04/2016","Wine Place","THE WINE PLACE","29.25","debit","Alcohol & Bars","Quicksilver","",""
"8/04/2016","Aug Rent","Aug rent","1200.00","credit","Income","Venmo","CJ Expense",""
"8/03/2016","City Winery","CITY WINERY - PIER 26","139.94","debit","Restaurants","Quicksilver","",""
"8/03/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"8/03/2016","Fuel Grill Juice","FUEL GRILL & JUICE BAR","10.34","debit","Restaurants","Quicksilver","",""
"8/03/2016","Empire Bc Des","Empire BC DES:RA-1261022 ID:XXXXX0735225145 INDN:CORBIN PAGE CO...","222.04","debit","Health Insurance","Regular Checking","",""
"8/03/2016","Transfer to Sapphire","CHASE DES:AUTOPAY ID:XXXXXXXXXX18890 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","2766.48","debit","Credit Card Payment","Regular Checking","",""
"8/03/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Sapphire","",""
"8/02/2016","Cashed Out","CASHED OUT","1500.00","debit","Income","Venmo","",""
"8/02/2016","Transfer from Regular Checking","AUTOMATIC PAYMENT - THANK","2766.48","credit","Credit Card Payment","Sapphire","",""
"8/02/2016","Spring Natural Kitchen","SPRING NATURAL KITCHEN","43.02","debit","Restaurants","Sapphire","",""
"8/02/2016","Dos Toros May","Dos Toros- May 2016","11.25","debit","Restaurants","Quicksilver","",""
"8/02/2016","Key Food","KEY FOOD 1584","44.46","debit","Groceries","Quicksilver","",""
"8/02/2016","New York Times","NEW YORK TIMES DIGITAL","8.00","debit","Books","Quicksilver","",""
"8/02/2016","External Transfer Fee","External transfer fee - 3 Day - 08/01/2016 Confirmation: 178702606","3.00","debit","Transfer","Regular Checking","",""
"8/02/2016","Verizon","VERIZON DES:PaymentONE ID:XXXXX42550001 INDN: CO ID:XXXXX97101 PPD","170.74","debit","Internet","Regular Checking","",""
"8/01/2016","Seamlsscaesarspalace","SEAMLSSCAESARSPALACE","27.40","debit","Restaurants","Quicksilver","",""
"8/01/2016","Venmo Des Cashout","VENMO-0 DES:CASHOUT ID:XXXXX7565 INDN:CORBIN PAGE CO ID:XXXXX81992 PPD","1500.00","credit","Income","Regular Checking","",""
"8/01/2016","Transfer T Page","TRANSFER CORBIN T PAGE:Marvin Sperling Confirmation# 0605653587","3500.00","debit","Mortgage & Rent","Regular Checking","",""
"7/31/2016","GoGoAir","GOGOAIR.COM","49.95","debit","Air Travel","Freedom","",""
"7/31/2016","Key Food","KEY FOOD 1584 NEW YORK NY","14.88","debit","Groceries","8572","",""
"7/31/2016","Proceeds Rose Valley","50% proceeds from rose valley antiques","112.50","credit","Income","Venmo","",""
"7/30/2016","Cafe","CAFE 86","16.21","debit","Restaurants","Quicksilver","",""
"7/30/2016","CVS","CVS/PHARMACY #02445","10.99","debit","Pharmacy","Quicksilver","",""
"7/29/2016","Amazon","AMAZON.COM AMZN.COM/BI AMZN.COM/BILL WA","47.80","debit","Shopping","8572","",""
"7/29/2016","Lirrnytickets Qps Jamaica","LIRRNYTICKETS QPS JAMAICA NY","22.00","debit","Public Transportation","8572","",""
"7/29/2016","Transfer to Quicksilver","CAPITAL ONE DES:CRCARDPMT ID:XXXXX0189015998...","796.57","debit","Credit Card Payment","Regular Checking","",""
"7/28/2016","Spotify","SPOTIFY*USA-SUBS","9.99","debit","Music","Freedom","",""
"7/28/2016","Ocean Beach Hardware","OCEAN BEACH HARDWARE, I","65.25","debit","Home Improvement","Sapphire","",""
"7/28/2016","Transfer to Freedom","CHASE DES:AUTOPAY ID:XXXXXXXXXX33682 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","61.93","debit","Credit Card Payment","Regular Checking","",""
"7/28/2016","Transfer from Regular Checking","CAPITAL ONE AUTOPAY PYMT","796.57","credit","Credit Card Payment","Quicksilver","",""
"7/27/2016","Transfer from Regular Checking","AUTOMATIC PAYMENT - THANK","61.93","credit","Credit Card Payment","Freedom","",""
"7/26/2016","Lirrnytickets","LIRRNYTICKETS","14.00","debit","Train Travel","Quicksilver","",""
"7/26/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/26/2016","iTunes","APL* ITUNES.COM/BILL","15.19","debit","Electronics & Software","Quicksilver","",""
"7/25/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/25/2016","ATM Withdrawal","BKOFAMERICA ATM 07/23 #000009510 WITHDRWL BROADWAY & WEST NEW YORK NY","100.00","debit","Cash & ATM","Regular Checking","",""
"7/25/2016","Interest Paid","Interest Paid","87.20","credit","Interest Income","Money Market","",""
"7/24/2016","Beers Cocktail Hummus","Beers cocktail and 1/2 hummus","44.00","debit","Alcohol & Bars","Venmo","",""
"7/24/2016","Gotan Tribeca","SQ *GOTAN TRIBECA","4.00","debit","Restaurants","Quicksilver","",""
"7/24/2016","Seamlsspouletterotiss","SEAMLSSPOULETTEROTISS","41.18","debit","Restaurants","Quicksilver","",""
"7/23/2016","Amazon","AMAZON.COM AMZN.COM/BILL","29.98","debit","Shopping","Quicksilver","",""
"7/23/2016","Broadway Farm","BROADWAY FARM","57.88","debit","Groceries","Quicksilver","",""
"7/23/2016","Seamlssopaithai","SEAMLSSOPAITHAI","28.18","debit","Restaurants","Quicksilver","",""
"7/23/2016","Laundry","02547 LAUNDRY CARD NEW YORK NY","35.00","debit","Laundry","8572","",""
"7/22/2016","Warby Parker","WARBY PARKER","95.00","debit","Shopping","Quicksilver","",""
"7/22/2016","Warby Parker","WARBY PARKER","103.44","debit","Shopping","Quicksilver","",""
"7/22/2016","iTunes","APL* ITUNES.COM/BILL","5.43","debit","Electronics & Software","Quicksilver","",""
"7/21/2016","A & S Restaurant","DAHLIA'S RESTAURANT","29.47","debit","Business Services","Sapphire","",""
"7/20/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/19/2016","Citi Autopay Des","CITI AUTOPAY DES:PAYMENT ID:XXXXX0162110695 INDN:CORBIN PAGE CO...","1126.24","debit","Bills & Utilities","Regular Checking","",""
"7/19/2016","MTA","MTA MVM*R164-86 ST","80.00","debit","Train/Subway","Quicksilver","",""
"7/19/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/19/2016","Amazon","Amazon.com AMZN.COM/BILL WA","41.56","debit","Shopping","8572","",""
"7/18/2016","Tribeca Tap Room","TriBeCa Tap Room","7.00","credit","Income","Venmo","",""
"7/18/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/18/2016","Seamlsstalbagels","SEAMLSSTALBAGELS","32.36","debit","Fast Food","Quicksilver","",""
"7/18/2016","Consolidated Edison","CON ED OF NY DES:INTELL CK ID:XXXXX1116666092 INDN:CORBIN PAGE CO...","127.45","debit","Utilities","Regular Checking","",""
"7/18/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX2731 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","1759.00","debit","Transfer","Regular Checking","",""
"7/18/2016","Autopay Rautopay Auto","AUTOPAY 999990000004498RAUTOPAY AUTO-PMT","1126.24","credit","Credit Card Payment","8572","",""
"7/18/2016","Uber","UBER   *US JUL16 PLS4U","38.46","debit","Rental Car & Taxi","Sapphire","",""
"7/18/2016","iTunes","APL* ITUNES.COM/BILL","5.43","debit","Electronics & Software","Quicksilver","",""
"7/17/2016","Uber","UBER   *US JUL16 BQYTG","16.30","debit","Rental Car & Taxi","Sapphire","",""
"7/17/2016","Seamlssspicehut","SEAMLSSSPICEHUT","28.54","debit","Restaurants","Quicksilver","",""
"7/17/2016","Key Food","KEY FOOD 1584","41.44","debit","Groceries","Quicksilver","",""
"7/16/2016","Counting Room","THE COUNTING ROOM","20.00","debit","Restaurants","Quicksilver","",""
"7/16/2016","Berry Park","BERRY PARK","38.00","debit","Alcohol & Bars","Quicksilver","",""
"7/16/2016","Die Stammkneipe","SQ *DIE STAMMKNEIPE","30.00","debit","Restaurants","Quicksilver","",""
"7/16/2016","Red Star","RED STAR SANDWICH SHOP","12.52","debit","Restaurants","Quicksilver","",""
"7/15/2016","Amazon","AMAZON MKTPLACE PMTS","75.20","debit","Shopping","Quicksilver","",""
"7/15/2016","CVS","CVS/PHARMACY #02445","19.06","debit","Pharmacy","Quicksilver","",""
"7/15/2016","Great Burrito","THE GREAT BURRITO","21.78","debit","Restaurants","Quicksilver","",""
"7/15/2016","Amazon","AMAZON MKTPLACE PMTS","30.00","debit","Shopping","Quicksilver","",""
"7/15/2016","Tribeca Tap Room","TriBeCa Tap Room","7.00","credit","Income","Venmo","",""
"7/15/2016","First Weeks","First 2 weeks payment","1759.00","debit","Mortgage & Rent","Venmo","",""
"7/15/2016","iTunes","APL* ITUNES.COM/BILL","5.43","debit","Electronics & Software","Quicksilver","",""
"7/14/2016","Black Tap","BLACK TAP NEW YORK NY","45.61","debit","Alcohol & Bars","8572","",""
"7/14/2016","Tribeca Tap House","TriBeCa Tap House","10.00","credit","Income","Venmo","",""
"7/14/2016","Tribeca Tap House","TriBeCa Tap house. Sam and Blair. 4 beers * $9 + $24 wings + tip $10 tip","70.00","credit","Income","Venmo","",""
"7/14/2016","Tribeca Taphouse","TRIBECA TAPHOUSE","123.33","debit","Alcohol & Bars","Quicksilver","",""
"7/13/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/13/2016","Hudson Farms","HUDSON FARM","7.78","debit","Groceries","Quicksilver","",""
"7/13/2016","Makespace Com","MAKESPACE.COM","52.79","debit","Home Supplies","Quicksilver","",""
"7/13/2016","Baba Ghanouge","SQ *BABA GHANOUGE","9.23","debit","Restaurants","Quicksilver","",""
"7/12/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/12/2016","Union Hall","UNION HALL - 1","12.00","debit","Alcohol & Bars","Sapphire","",""
"7/12/2016","Pig Beach","PIG BEACH BROOKLYN","24.00","debit","Restaurants","Sapphire","",""
"7/12/2016","Pig Beach","PIG BEACH BROOKLYN","8.00","debit","Restaurants","Sapphire","",""
"7/12/2016","Untamed","TST* UNTAMED SANDWICHES","13.06","debit","Personal Care","Quicksilver","",""
"7/11/2016","ATM Withdrawal","BKOFAMERICA ATM 07/09 #000004978 WITHDRWL EAST VILLAGE NEW YORK NY","100.00","debit","Cash & ATM","Regular Checking","",""
"7/11/2016","Seamlsstalbagels","SEAMLSSTALBAGELS","22.41","debit","Fast Food","Quicksilver","",""
"7/11/2016","Loreley Restaurant","LORELEY RESTAURANT","39.50","debit","Restaurants","Sapphire","",""
"7/11/2016","Downtown","DOWNTOWN","19.00","debit","Restaurants","Sapphire","",""
"7/11/2016","Uber","UBER   *US JUL09 5MT2A","19.50","debit","Rental Car & Taxi","Sapphire","",""
"7/10/2016","Key Food","KEY FOOD 1584","44.35","debit","Groceries","Quicksilver","",""
"7/10/2016","El Diablito Taqueria","EL DIABLITO TAQUERIA INC","20.41","debit","Restaurants","Sapphire","",""
"7/10/2016","Tal Bagels","TAL BAGELS","16.26","debit","Restaurants","Sapphire","",""
"7/10/2016","Ofrenda","OFRENDA","158.46","debit","Restaurants","Sapphire","",""
"7/10/2016","Jin Ramen","JIN RAMEN","42.93","debit","Restaurants","Sapphire","",""
"7/09/2016","Cash","Cash Credit","46.00","credit","Income","Venmo","",""
"7/09/2016","Cash","Cash Credit","28.50","credit","Income","Venmo","",""
"7/09/2016","Sexual Favors","+sexual favors","15.00","credit","Income","Venmo","",""
"7/09/2016","Galway Hooker","Galway hooker","7.00","credit","Income","Venmo","",""
"7/09/2016","Cafe","CAFE 86 NEW YORK NY","8.17","debit","Restaurants","8572","",""
"7/07/2016","Basics Plus Inc","BASICS PLUS INC","16.31","debit","Home","Quicksilver","",""
"7/07/2016","Google Storage","GOOGLE *Google Storage","1.99","debit","Internet","Freedom","",""
"7/06/2016","Empire Bc Des","Empire BC DES:RA-1261022 ID:XXXXX0726677355 INDN:CORBIN PAGE CO...","222.04","debit","Health Insurance","Regular Checking","",""
"7/06/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/06/2016","Amazon","AMAZON MKTPLACE PMTS","12.95","debit","Shopping","Quicksilver","",""
"7/06/2016","Starbucks","STARBUCKS STORE 09239","3.97","debit","Coffee Shops","Quicksilver","",""
"7/06/2016","Europcar","Europcar","129.47","debit","Rental Car & Taxi","Sapphire","",""
"7/06/2016","Searsucker","SEARSUCKER SAN DIEGO","38.88","debit","Restaurants","Sapphire","",""
"7/05/2016","Starbucks","STARBUCKS STORE 09239","3.21","debit","Coffee Shops","Quicksilver","",""
"7/05/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"7/05/2016","Broadway Farm","BROADWAY FARM","59.44","debit","Groceries","Quicksilver","",""
"7/05/2016","New York Times","NEW YORK TIMES DIGITAL","8.00","debit","Books","Quicksilver","",""
"7/05/2016","Uber","UBER   *US JUL04 Q3B5R","7.57","debit","Rental Car & Taxi","Sapphire","",""
"7/05/2016","Chase Des Autopay","CHASE DES:AUTOPAY ID:XXXXXXXXXX39190 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","2869.90","debit","Credit Card Payment","Regular Checking","",""
"7/05/2016","External Transfer Fee","External transfer fee - 3 Day - 07/01/2016 Confirmation: 176479880","3.00","debit","Transfer","Regular Checking","",""
"7/04/2016","Cpk T East","CPK T2 EAST SA32363236","19.19","debit","Fast Food","Quicksilver","",""
"7/04/2016","Nyc Taxi","NYC-TAXI","70.13","debit","Rental Car & Taxi","Quicksilver","",""
"7/04/2016","Europan Cafe","EUROPAN CAFE","22.50","debit","Food & Dining","Quicksilver","",""
"7/04/2016","Uber","UBER   *US JUL03 666DU","14.08","debit","Rental Car & Taxi","Sapphire","",""
"7/04/2016","Brooklyn Bagel","BROOKLYN BAGEL COMPANY","7.11","debit","Restaurants","Sapphire","",""
"7/04/2016","Moonshine","MOONSHINE/LUCKYS","21.00","debit","Alcohol & Bars","Sapphire","",""
"7/04/2016","Bubs Ballpa","BUBS AT THE BALLPA","10.75","debit","Restaurants","Sapphire","",""
"7/04/2016","Brooklyn Bagel","BROOKLYN BAGEL COMPANY","1.35","debit","Restaurants","Sapphire","",""
"7/03/2016","Dranks","Dranks","19.00","debit","Alcohol & Bars","Venmo","",""
"7/03/2016","Ubers","Ubers to/from","10.00","credit","Income","Venmo","",""
"7/03/2016","Brunch","Brunch","29.38","debit","Restaurants","Venmo","",""
"7/03/2016","Pb Shore Club","PB SHORE CLUB","33.48","debit","Restaurants","Quicksilver","",""
"7/03/2016","Starbucks","STARBUCKS #05972 SAN DIEG","3.25","debit","Coffee Shops","Quicksilver","",""
"7/03/2016","Pb Shore Club","PB SHORE CLUB","120.84","debit","Restaurants","Quicksilver","",""
"7/03/2016","Pb Shore Club","PB SHORE CLUB","63.40","debit","Restaurants","Quicksilver","",""
"7/03/2016","Uber","UBER   *US JUL02 KJE3S","36.32","debit","Rental Car & Taxi","Sapphire","",""
"7/03/2016","Uber","UBER   *US JUL01 35DBB","27.50","debit","Rental Car & Taxi","Sapphire","",""
"7/03/2016","Buddha Beer Bar","BUDDHA BEER BAR","113.92","debit","Alcohol & Bars","Sapphire","",""
"7/03/2016","Juniper","JUNIPER & IVY","42.20","debit","Restaurants","Sapphire","",""
"7/03/2016","Bootlegger","BOOTLEGGER","10.88","debit","Alcohol & Bars","Sapphire","",""
"7/03/2016","Uber","UBER   *US JUL01 45ZAZ","25.95","debit","Rental Car & Taxi","Sapphire","",""
"7/03/2016","Tal Bagels","TAL BAGELS","12.46","debit","Restaurants","Sapphire","",""
"7/02/2016","New Roomie Rent","New roomie rent","1200.00","credit","Income","Venmo","",""
"7/02/2016","Ubers","Ubers to/from","10.00","credit","Income","Venmo","",""
"7/01/2016","Transfer T Page","TRANSFER CORBIN T PAGE:Marvin Sperling Confirmation# 0538035398","3500.00","debit","Transfer","Regular Checking","",""
"7/01/2016","Vegas","Vegas","50.00","credit","Income","Venmo","",""
"7/01/2016","Grocery Outlet","GROCERY OUTLET EAST","59.13","debit","Groceries","Quicksilver","",""
"7/01/2016","Brooklyn Bagel","BROOKLYN BAGEL COMPANY","10.84","debit","Restaurants","Quicksilver","",""
"7/01/2016","GoGoAir","GOGOAIR.COM","49.95","debit","Air Travel","Freedom","",""
"7/01/2016","Annual Membership Fee","ANNUAL MEMBERSHIP FEE","95.00","debit","Service Fee","Sapphire","",""
"7/01/2016","Nyc Taxi P","NYC TAXI 1P13","69.99","debit","Rental Car & Taxi","Sapphire","",""
"7/01/2016","Automatic Thank","AUTOMATIC PAYMENT - THANK","2869.90","credit","Credit Card Payment","Sapphire","",""
"6/30/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 06/30 3456292729 DEPOSIT *MOBILE NC","60.04","credit","Income","Regular Checking","",""
"6/30/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 06/30 3456293266 DEPOSIT *MOBILE NC","23.86","credit","Income","Regular Checking","",""
"6/30/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 06/30 3456293034 DEPOSIT *MOBILE NC","57.52","credit","Income","Regular Checking","",""
"6/30/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 06/30 3456292870 DEPOSIT *MOBILE NC","0.17","credit","Income","Regular Checking","",""
"6/30/2016","Cash","Cash Credit","12.00","credit","Income","Venmo","",""
"6/30/2016","Drinks Buddha Bar","Drinks at the Buddha bar","23.00","credit","Income","Venmo","",""
"6/30/2016","Jfk Abp T","JFK 3 ABP T8","14.12","debit","Restaurants","Quicksilver","",""
"6/30/2016","State Farm","STATE FARM 800-956-6310 IL","125.00","debit","Financial","8572","CJ Expense",""
"6/29/2016","Capital One Des","CAPITAL ONE DES:CRCARDPMT ID:XXXXX0189017072...","1646.94","debit","Credit Card Payment","Regular Checking","",""
"6/29/2016","Venmo Des Cashout","VENMO-0 DES:CASHOUT ID:XXXXX8275 INDN:CORBIN PAGE CO ID:XXXXX81992 PPD","800.00","credit","Income","Regular Checking","",""
"6/29/2016","Hampton Chutney","HAMPTON CHUTNEY","10.83","debit","Restaurants","Sapphire","",""
"6/29/2016","Cafe","CAFE 86","12.19","debit","Restaurants","Sapphire","",""
"6/29/2016","Bread Market","BREAD MARKET","14.46","debit","Restaurants","Sapphire","",""
"6/29/2016","Cashed Out","CASHED OUT","800.00","debit","Income","Venmo","",""
"6/28/2016","Spotify","SPOTIFY*USA-SUBS","9.99","debit","Music","Freedom","",""
"6/28/2016","Good Enough To Eat","GOOD ENOUGH TO EAT","43.67","debit","Restaurants","Sapphire","",""
"6/28/2016","Amazon","Amazon.com","13.04","debit","Shopping","Quicksilver","",""
"6/28/2016","Capital One Autopay","CAPITAL ONE AUTOPAY PYMT","1646.94","credit","Credit Card Payment","Quicksilver","",""
"6/28/2016","Chase Des Autopay","CHASE DES:AUTOPAY ID:XXXXXXXXXX32581 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","385.08","debit","Credit Card Payment","Regular Checking","",""
"6/27/2016","Transfer from Regular Checking","AUTOMATIC PAYMENT - THANK","385.08","credit","Credit Card Payment","Freedom","",""
"6/27/2016","Foj Jersey","FOJ jersey","61.96","debit","Uncategorized","Venmo","",""
"6/27/2016","Cash","Cash Credit","50.00","debit","Entertainment","Venmo","",""
"6/26/2016","Nish Nush","NISH NUSH NEW YORK NY","18.78","debit","Food & Dining","8572","CJ Expense",""
"6/26/2016","Amazon","AMAZON MKTPLACE PMTS","90.62","debit","Shopping","Quicksilver","",""
"6/26/2016","For Thai","for thai","41.00","debit","Restaurants","Venmo","",""
"6/25/2016","Interest Paid","Interest Paid","90.05","credit","Interest Income","Money Market","",""
"6/24/2016","Duke Donations","DUKE DONATIONS 1","50.00","debit","Charity","Sapphire","",""
"6/24/2016","Key Food","KEY FOOD 1584","17.19","debit","Groceries","Quicksilver","",""
"6/23/2016","Transfer to Starwood Preferred Guest","AMERICAN EXPRESS DES:AM PMT ID:A1642 INDN:CORBIN T CO ID:XXXXX33497 WEB","95.00","debit","Credit Card Payment","Regular Checking","",""
"6/23/2016","Transfer from Regular Checking","AUTOPAY PAYMENT - THANK YOU 320161750238672803","95.00","credit","Credit Card Payment","Starwood Preferred Guest","",""
"6/23/2016","Arties Deli","ARTIES DELICATESSEN","8.66","debit","Fast Food","Quicksilver","",""
